data_hora,layout,laudo_id,pasta,angulo,iluminacao,tempo_docling_s,tempo_groq_s,tempo_total_s,tokens_prompt,tokens_completion,tokens_total,status,arquivo_json
2026-05-27 14:04:01,layout_01,14510,pasta_001,frontal,clara,80.2,4.59,167.09,3639,308,3947,ok,14510_frontal_clara_hibrido.json
2026-05-27 14:05:07,layout_01,14510,pasta_002,frontal,sombra,59.86,2.11,62.55,2953,308,3261,ok,14510_frontal_sombra_hibrido.json
2026-05-27 14:06:23,layout_01,14510,pasta_003,frontal,tremida,70.8,2.17,73.52,3473,308,3781,ok,14510_frontal_tremida_hibrido.json
2026-05-27 14:07:39,layout_01,14510,pasta_004,frontal,flash,69.74,2.46,72.71,3627,308,3935,ok,14510_frontal_flash_hibrido.json
2026-05-27 14:08:59,layout_01,14510,pasta_005,esquerda,clara,74.06,2.74,77.38,3454,314,3768,ok,14510_esquerda_clara_hibrido.json
2026-05-27 14:09:45,layout_01,14510,pasta_006,esquerda,sombra,40.1,2.2,42.9,3119,306,3425,ok,14510_esquerda_sombra_hibrido.json
2026-05-27 14:10:45,layout_01,14510,pasta_007,esquerda,tremida,53.47,2.9,56.94,2851,315,3166,ok,14510_esquerda_tremida_hibrido.json
2026-05-27 14:11:48,layout_01,14510,pasta_008,esquerda,flash,56.73,2.27,59.52,3173,316,3489,ok,14510_esquerda_flash_hibrido.json
2026-05-27 14:14:57,layout_01,14510,pasta_009,direita,clara,183.2,2.35,186.02,3145,308,3453,ok,14510_direita_clara_hibrido.json
2026-05-27 14:15:42,layout_01,14510,pasta_010,direita,sombra,37.85,3.34,41.76,2953,305,3258,ok,14510_direita_sombra_hibrido.json
2026-05-27 14:16:48,layout_01,14510,pasta_011,direita,tremida,60.09,2.18,63.01,2854,311,3165,ok,14510_direita_tremida_hibrido.json
2026-05-27 14:17:51,layout_01,14510,pasta_012,direita,flash,56.33,2.64,59.84,2978,308,3286,ok,14510_direita_flash_hibrido.json
2026-05-27 14:18:59,layout_01,14510,pasta_013,invertida,clara,63.15,1.82,65.51,2893,305,3198,ok,14510_invertida_clara_hibrido.json
2026-05-27 14:19:51,layout_01,14510,pasta_014,invertida,sombra,46.16,1.86,48.55,2848,297,3145,ok,14510_invertida_sombra_hibrido.json
2026-05-27 14:20:50,layout_01,14510,pasta_015,invertida,tremida,53.91,2.15,56.68,2854,243,3097,ok,14510_invertida_tremida_hibrido.json
2026-05-27 14:22:01,layout_01,14510,pasta_016,invertida,flash,65.35,2.04,67.99,3472,297,3769,ok,14510_invertida_flash_hibrido.json
2026-05-27 14:48:53,layout_01,14511,pasta_001,frontal,clara,76.64,2.11,79.45,3644,308,3952,ok,14511_frontal_clara_hibrido.json
2026-05-27 14:50:02,layout_01,14511,pasta_002,frontal,sombra,62.8,2.07,65.47,3285,308,3593,ok,14511_frontal_sombra_hibrido.json
2026-05-27 14:50:53,layout_01,14511,pasta_003,frontal,tremida,45.58,2.35,48.41,3138,311,3449,ok,14511_frontal_tremida_hibrido.json
2026-05-27 14:51:56,layout_01,14511,pasta_004,frontal,flash,56.92,2.13,59.75,2886,309,3195,ok,14511_frontal_flash_hibrido.json
2026-05-27 14:52:54,layout_01,14511,pasta_005,esquerda,clara,52.02,2.19,54.74,3245,300,3545,ok,14511_esquerda_clara_hibrido.json
2026-05-27 14:53:16,layout_01,14511,pasta_006,esquerda,sombra,16.55,1.82,18.94,2851,321,3172,ok,14511_esquerda_sombra_hibrido.json
2026-05-27 14:53:59,layout_01,14511,pasta_007,esquerda,tremida,37.57,2.24,40.37,2848,243,3091,ok,14511_esquerda_tremida_hibrido.json
2026-05-27 14:55:05,layout_01,14511,pasta_008,esquerda,flash,60.17,2.02,62.72,3405,306,3711,ok,14511_esquerda_flash_hibrido.json
2026-05-27 14:55:51,layout_01,14511,pasta_009,direita,clara,40.66,1.81,42.98,3310,302,3612,ok,14511_direita_clara_hibrido.json
2026-05-27 14:56:44,layout_01,14511,pasta_010,direita,sombra,47.26,2.03,49.87,2854,310,3164,ok,14511_direita_sombra_hibrido.json
2026-05-27 14:57:25,layout_01,14511,pasta_011,direita,tremida,35.15,2.18,37.87,2854,314,3168,ok,14511_direita_tremida_hibrido.json
2026-05-27 15:00:17,layout_01,14511,pasta_012,direita,flash,165.79,2.91,169.17,3360,305,3665,ok,14511_direita_flash_hibrido.json
2026-05-27 15:01:14,layout_01,14511,pasta_013,invertida,clara,51.86,1.86,54.27,2976,310,3286,ok,14511_invertida_clara_hibrido.json
2026-05-27 15:02:22,layout_01,14511,pasta_014,invertida,sombra,62.14,1.96,64.65,2848,304,3152,ok,14511_invertida_sombra_hibrido.json
2026-05-27 15:03:02,layout_01,14511,pasta_015,invertida,tremida,34.65,2.05,37.28,2848,243,3091,ok,14511_invertida_tremida_hibrido.json
